dt	f	t	l	d
2014103116	014	007	3	0
2014103115	004	020	0	0
2014103100	026	017	1	0
2014103022	001	002	1	0
2014103020	017	026	2	0
2014103020	017	017	0	0
2014102916	028	028	1	0
2014102916	028	028	1	0
2014102916	013	013	0	0
2014102916	013	013	0	0
2014102915	008	008	0	0
2014102912	024	028	1	0
2014102819	006	006	2	0
2014102712	003	001	1	0
2014102702	013	013	1	0
2014102617	024	013	1	0
2014102617	017	020	0	0
2014102617	026	026	0	0
2014102617	026	026	0	0
2014102615	026	024	0	0
2014102615	026	024	0	0
2014102613	006	006	2	0
2014102613	006	006	2	0
2014102612	029	014	2	0
2014102612	029	029	0	0
2014102612	029	014	2	0
2014102518	023	006	1	0
2014102512	009	013	0	0
2014102510	006	006	0	0
2014102510	006	006	0	0
2014102507	023	018	0	0
2014102422	006	016	0	0
2014102422	006	016	1	0
2014102422	006	016	1	0
2014102419	023	023	0	0
2014102418	015	028	0	0
2014102418	023	023	1	0
2014102415	020	020	1	0
2014102415	020	020	0	0
2014102123	003	003	2	0
2014102123	003	003	0	0
2014102123	003	003	2	0
2014102020	027	020	1	0
2014101911	006	026	2	0
2014101911	006	026	2	0
2014101911	006	026	2	0
2014101818	009	014	0	0
2014101817	010	009	0	0
2014101816	027	016	0	0
2014101815	009	027	0	0
2014101815	009	009	0	0
2014101814	024	016	1	0
2014101814	024	016	1	0
2014101814	029	029	1	0
2014101813	027	006	0	0
2014101812	027	027	0	0
2014101806	006	027	0	0
2014101805	013	006	0	0
2014101804	006	008	1	0
2014101804	006	008	1	0
2014101723	025	029	0	0
2014101723	025	029	0	0
2014101723	025	029	0	0
2014101719	029	025	0	0
2014101719	029	025	0	0
2014101719	029	025	0	0
2014101717	020	020	0	0
2014101717	020	009	1	0
2014101613	007	013	0	0
2014101612	001	007	0	0
2014101612	001	001	0	0
2014101611	018	018	0	0
2014101611	020	018	0	0
2014101610	013	020	0	0
2014101519	018	006	0	0
2014101518	003	013	1	0
2014101513	008	016	1	0
2014101422	015	015	0	0
2014101421	027	015	1	0
2014101421	027	027	0	0
2014101320	016	016	1	0
2014101320	016	016	0	0
2014101320	016	016	0	0
2014101319	018	007	1	0
2014101318	004	028	0	0
2014101317	009	018	0	0
2014101317	009	009	0	0
2014101314	028	004	0	0
2014101314	028	028	0	0
2014101302	007	007	1	0
2014101302	009	009	1	0
2014101222	014	014	0	0
2014101221	007	014	1	0
2014101220	007	007	0	0
2014101219	004	004	1	0
2014101219	003	003	0	0
2014101217	028	022	1	0
2014101217	027	027	1	0
2014101217	008	028	1	0
2014101216	024	024	4	0
2014101216	019	019	2	0
2014101216	007	007	0	0
2014101216	007	007	0	0
2014101215	003	003	1	0
2014101215	003	003	1	0
2014101214	029	029	2	0
2014101214	027	023	1	0
2014101214	029	029	2	0
2014101213	006	006	1	0
2014101213	006	006	1	0
2014101213	006	006	0	0
2014101213	006	006	2	0
2014101212	013	027	1	0
2014101212	022	025	1	0
2014101211	016	016	0	0
2014101203	001	010	1	0
2014101202	006	006	0	0
2014101202	006	006	0	0
2014101201	018	018	0	0
2014101201	010	006	1	0
2014101200	010	009	9	0
2014101123	027	027	1	0
2014101123	027	027	0	0
2014101123	028	028	2	0
2014101122	006	006	1	0
2014101122	025	029	0	0
2014101122	025	029	0	0
2014101120	007	009	13	0
2014101120	007	009	13	0
2014101119	017	013	0	0
2014101119	029	026	1	0
2014101119	029	026	1	0
2014101118	003	023	1	0
2014101118	001	027	1	0
2014101117	006	025	1	0
2014101116	019	019	2	0
2014101116	017	028	0	0
2014101116	004	017	0	0
2014101116	007	029	1	0
2014101115	023	024	1	0
2014101115	023	024	1	0
2014101114	023	009	0	0
2014101113	020	020	2	0
2014101113	011	015	2	0
2014101113	011	015	2	0
2014101113	029	006	1	0
2014101113	029	029	0	0
2014101113	008	002	0	0
2014101112	022	022	0	0
2014101112	029	029	2	0
2014101112	029	029	2	0
2014101112	011	008	0	0
2014101112	011	011	0	0
2014101111	022	011	0	0
